query_id,query
1,How do I course registration procedures?
2,Guide for checking exam schedules
3,Where can I find information about requesting official academic transcripts?
4,What is the process for accessing your university email account?
5,What is the process for checking exam schedules?
6,What is the process for viewing the academic calendar?
7,How do I resetting your university portal password?
8,How can students understanding grading policies?
9,How do I requesting official academic transcripts?
10,How can students booking appointments with academic advisors?
11,What is the process for attendance and participation rules?
12,How can students replacing a lost student id card?
13,What is the process for replacing a lost student id card?
14,How do I troubleshooting login issues on the student portal?
15,How can students installing university licensed software?
16,What is the process for understanding grading policies?
17,How can students late registration penalties?
18,Guide for connecting to the campus wifi network
19,How do I understanding grading policies?
20,What is the process for booking appointments with academic advisors?
21,Guide for booking appointments with academic advisors
22,Guide for graduation eligibility requirements
23,How can students applying for student accommodation?
24,Guide for requesting official academic transcripts
25,Guide for using university library resources
26,What is the process for booking appointments with academic advisors?
27,How can students tuition fee payment policy?
28,What is the process for course withdrawal guidelines?
29,Guide for course withdrawal guidelines
30,What is the process for tuition fee payment policy?
31,How can students course withdrawal guidelines?
32,Where can I find information about accessing your university email account?
33,Where can I find information about understanding grading policies?
34,Where can I find information about applying for student accommodation?
35,How do I graduation eligibility requirements?
36,What is the process for troubleshooting login issues on the student portal?
37,How can students understanding grading policies?
38,What is the process for troubleshooting login issues on the student portal?
39,How can students accessing your university email account?
40,Where can I find information about using university library resources?
41,How can students graduation eligibility requirements?
42,How do I using university library resources?
43,How can students viewing the academic calendar?
44,Guide for replacing a lost student id card
45,Guide for resetting your university portal password
46,How can students replacing a lost student id card?
47,Where can I find information about resetting your university portal password?
48,How can students checking exam schedules?
49,Guide for using university library resources
50,Guide for graduation eligibility requirements
